"x","sin(x)","sin'(x)"
3.235846,-0.094114,-0.995398
3.267262,-0.125339,-0.991951
3.298678,-0.156440,-0.987525
3.330094,-0.187387,-0.982125
3.361510,-0.218149,-0.975755
3.392926,-0.248695,-0.968422
3.424342,-0.278997,-0.960134
3.455758,-0.309023,-0.950898
3.487174,-0.338744,-0.940724
3.518590,-0.368130,-0.929621
3.550006,-0.397153,-0.917601
3.581422,-0.425785,-0.904676
3.612838,-0.453996,-0.890857
3.644254,-0.481759,-0.876160
3.675670,-0.509047,-0.860597
3.707086,-0.535832,-0.844186
3.738502,-0.562089,-0.826941
3.769918,-0.587790,-0.808880
3.801334,-0.612912,-0.790021
3.832750,-0.637429,-0.770382
3.864166,-0.661317,-0.749983
3.895582,-0.684552,-0.728844
3.926998,-0.707112,-0.706986
3.958413,-0.728973,-0.684430
3.989829,-0.750116,-0.661198
4.021245,-0.770518,-0.637314
4.052661,-0.790159,-0.612801
4.084077,-0.809021,-0.587683
4.115493,-0.827085,-0.561985
4.146909,-0.844332,-0.535733
4.178325,-0.860746,-0.508952
4.209741,-0.876310,-0.481668
4.241157,-0.891010,-0.453909
4.272573,-0.904830,-0.425703
4.303989,-0.917758,-0.397076
4.335405,-0.929779,-0.368057
4.366821,-0.940883,-0.338675
4.398237,-0.951059,-0.308959
4.429653,-0.960296,-0.278938
4.461069,-0.968585,-0.248642
4.492485,-0.975918,-0.218100
4.523901,-0.982289,-0.187343
4.555317,-0.987690,-0.156401
4.586733,-0.992116,-0.125305
4.618149,-0.995563,-0.094085
4.649565,-0.998027,-0.062772
4.680981,-0.999507,-0.031398
4.712397,-1.000000,0.000008
4.743813,-0.999506,0.031414
4.775229,-0.998026,0.062788
4.806645,-0.995561,0.094101
4.838061,-0.992114,0.125321
4.869477,-0.987687,0.156417
4.900893,-0.982286,0.187359
4.932309,-0.975915,0.218116
4.963725,-0.968581,0.248657
4.995141,-0.960291,0.278953
5.026557,-0.951054,0.308974
5.057973,-0.940878,0.338690
5.089389,-0.929773,0.368072
5.120805,-0.917751,0.397091
5.152221,-0.904823,0.425717
5.183637,-0.891003,0.453924
5.215053,-0.876302,0.481682
5.246469,-0.860737,0.508965
5.277885,-0.844323,0.535746
5.309301,-0.827075,0.561998
5.340717,-0.809012,0.587696
5.372133,-0.790149,0.612813
5.403549,-0.770507,0.637326
5.434965,-0.750105,0.661210
5.466381,-0.728962,0.684441
5.497797,-0.707100,0.706997
5.529212,-0.684540,0.728855
5.560628,-0.661305,0.749994
5.592044,-0.637417,0.770393
5.623460,-0.612899,0.790031
5.654876,-0.587777,0.808890
5.686292,-0.562075,0.826950
5.717708,-0.535819,0.844194
5.749124,-0.509033,0.860605
5.780540,-0.481745,0.876167
5.811956,-0.453982,0.890864
5.843372,-0.425770,0.904682
5.874788,-0.397139,0.917608
5.906204,-0.368115,0.929627
5.937620,-0.338728,0.940729
5.969036,-0.309007,0.950903
6.000452,-0.278981,0.960139
6.031868,-0.248680,0.968426
6.063284,-0.218133,0.975758
6.094700,-0.187371,0.982128
6.126116,-0.156424,0.987528
6.157532,-0.125323,0.991953
6.188948,-0.094098,0.995399
6.220364,-0.062780,0.997863
6.251780,-0.031400,0.999342
6.283196,0.000011,0.999836
